Pre.,Clac.,Error,SMILES
3.441747333,3.534335299,0.026901442,O=C(/C=C/c1ccc(-c2ccc(*)cc2)cc1)/C=C/c1ccc(-c2ccc(N3C(=O)c4ccc(NC(=O)c5ccc(/C=C/C(O)/C=C/c6ccc(C(=O)Nc7ccc8c(c7)C(=O)N(*)C8=O)cc6)cc5)cc4C3=O)cc2)cc1
2.876913588,2.825070947,0.018020229,O=C(Oc1ccc2c(c1)C(=O)N(*)C2=O)c1ccc(SSc2ccc(C(=O)Oc3ccc4c(c3)C(=O)N(Cc3ccc(S(=O)(=O)c5ccc(C*)cc5)cc3)C4=O)cc2)cc1
2.973965237,3.013906251,0.013430222,O=C(OCc1ccc(C(O)c2ccc(COC(=O)c3ccc4c(c3)C(=O)N(c3ccc(-c5ccc(C(O)C(O)c6ccc(-c7ccc(*)cc7)cc6)cc5)cc3)C4=O)cc2)cc1)c1ccc2c(c1)C(=O)N(*)C2=O
3.081736108,3.115903698,0.011087124,O=C(C(=O)c1ccc(-c2ccc(N3C(=O)c4ccc(OCc5ccc(C(O)C(O)c6ccc(COc7ccc8c(c7)C(=O)N(*)C8=O)cc6)cc5)cc4C3=O)cc2)cc1)c1ccc(-c2ccc(*)cc2)cc1
3.725719308,3.811801359,0.023104814,O=C1/C(=C/c2ccc(C(=O)c3ccc(*)cc3)cc2)CC/C1=C\c1ccc(C(=O)c2ccc(N3C(=O)c4ccc(C(=O)c5ccc(-c6ccc(-c7ccc(C(=O)c8ccc9c(c8)C(=O)N(*)C9=O)cc7)[nH]6)cc5)cc4C3=O)cc2)cc1
2.876363045,2.777511672,0.034366793,O=C(c1ccc(C(=O)C(O)c2ccc(C(=O)c3ccc4c(c3)C(=O)N(Cc3ccc(C(O)c5ccc(C*)cc5)cc3)C4=O)cc2)cc1)c1ccc2c(c1)C(=O)N(*)C2=O
2.935650045,3.138711555,0.069170884,O=C(OCc1ccc(C(=O)c2ccc(COC(=O)c3ccc4c(c3)C(=O)N(c3ccc(C(=O)c5ccc(Oc6ccc(C(=O)c7ccc(*)cc7)cc6)cc5)cc3)C4=O)cc2)cc1)c1ccc2c(c1)C(=O)N(*)C2=O
2.913696458,2.9321273,0.006325588,O=C(NCc1ccc(Cc2ccc(CNC(=O)c3ccc(N4C(=O)c5ccc(-c6ccc(S(=O)(=O)c7ccc(-c8ccc9c(c8)C(=O)N(*)C9=O)cc7)cc6)cc5C4=O)cc3)cc2)cc1)c1ccc(*)cc1
2.806017152,2.881973018,0.027068924,O=C(NCc1ccc(C(=O)c2ccc(CNC(=O)c3ccc(N4C(=O)c5ccc(-c6ccc(COCCOCc7ccc(-c8ccc9c(c8)C(=O)N(*)C9=O)cc7)cc6)cc5C4=O)cc3)cc2)cc1)c1ccc(*)cc1
3.117081554,3.139552661,0.007209021,O=C(CC(=O)c1ccc(COC(=O)c2ccc(N3C(=O)c4ccc(NC(=O)c5ccc(Sc6ccc(C(=O)Nc7ccc8c(c7)C(=O)N(*)C8=O)cc6)cc5)cc4C3=O)cc2)cc1)c1ccc(COC(=O)c2ccc(*)cc2)cc1
3.101556953,2.799580624,0.097362819,CP(c1ccc(C(=O)Nc2ccc(*)cc2)cc1)c1ccc(C(=O)Nc2ccc(N3C(=O)c4ccc(C(=O)OCc5ccc(C(=O)C(=O)c6ccc(COC(=O)c7ccc8c(c7)C(=O)N(*)C8=O)cc6)cc5)cc4C3=O)cc2)cc1
2.776473247,2.693570539,0.029858998,O=C1c2ccc(C(O)C(O)c3ccc4c(c3)C(=O)N(Cc3ccc(CSCc5ccc(C*)cc5)cc3)C4=O)cc2C(=O)N1*
3.162019143,3.5353268,0.118059898,O=C(Nc1ccc(*)cc1)c1ccc(S(=O)c2ccc(C(=O)Nc3ccc(N4C(=O)c5ccc(OCc6ccc(-c7ccc(-c8ccc(COc9ccc%10c(c9)C(=O)N(*)C%10=O)cc8)s7)cc6)cc5C4=O)cc3)cc2)cc1
2.855126477,2.875073105,0.00698625,O=C1c2ccc(-c3ccc(S(=O)c4ccc(-c5ccc6c(c5)C(=O)N(c5ccc(OCc7ccc(COc8ccc(*)cc8)cc7)cc5)C6=O)cc4)cc3)cc2C(=O)N1*
2.650008127,2.726241368,0.028767172,O=C(OCc1ccc(C#CC#Cc2ccc(COC(=O)c3ccc4c(c3)C(=O)N(Cc3ccc(CCC(O)CCc5ccc(C*)cc5)cc3)C4=O)cc2)cc1)c1ccc2c(c1)C(=O)N(*)C2=O
3.416213339,4.034284397,0.180922851,O=C(Nc1ccc(*)cc1)c1ccc(-c2ccc(-c3ccc(C(=O)Nc4ccc(N5C(=O)c6ccc(OC(=O)c7ccc(C(=O)C(=O)c8ccc(C(=O)Oc9ccc%10c(c9)C(=O)N(*)C%10=O)cc8)cc7)cc6C5=O)cc4)cc3)cc2)cc1
2.946835139,2.863218847,0.028374947,O=C(OCc1ccc(-c2ccc(-c3ccc(COC(=O)c4ccc(N5C(=O)c6ccc(C(=O)OCc7ccc(-c8ccc(-c9ccc(COC(=O)c%10ccc%11c(c%10)C(=O)N(*)C%11=O)cc9)s8)cc7)cc6C5=O)cc4)cc3)s2)cc1)c1ccc(*)cc1
2.750938016,2.562290548,0.068575688,O=C(OCc1ccc(Cc2ccc(COC(=O)c3ccc4c(c3)C(=O)N(Cc3ccc(C(O)C(O)c5ccc(C*)cc5)cc3)C4=O)cc2)cc1)c1ccc2c(c1)C(=O)N(*)C2=O
3.217516111,3.250471825,0.010242595,O=C(OCc1ccc(C(=O)c2ccc(COC(=O)c3ccc(N4C(=O)c5ccc(OC(=O)c6ccc(C#CC#Cc7ccc(C(=O)Oc8ccc9c(c8)C(=O)N(*)C9=O)cc7)cc6)cc5C4=O)cc3)cc2)cc1)c1ccc(*)cc1
2.552222793,2.609805898,0.022561943,O=C1c2ccc(OCc3ccc(COCCOCc4ccc(COc5ccc6c(c5)C(=O)N(Cc5ccc(-c7ccc(-c8ccc(C*)cc8)cc7)cc5)C6=O)cc4)cc3)cc2C(=O)N1*
2.8924928,2.704358764,0.065042179,O=C(OCc1ccc(/C=C/C(O)/C=C/c2ccc(COC(=O)c3ccc4c(c3)C(=O)N(c3ccc(OCc5ccc(C(=O)c6ccc(COc7ccc(*)cc7)cc6)cc5)cc3)C4=O)cc2)cc1)c1ccc2c(c1)C(=O)N(*)C2=O
3.154871252,3.440575517,0.090559723,O=C(Nc1ccc2c(c1)C(=O)N(*)C2=O)c1ccc(C(=O)c2ccc(C(=O)Nc3ccc4c(c3)C(=O)N(c3ccc(OC(=O)c5ccc(S(=O)c6ccc(C(=O)Oc7ccc(*)cc7)cc6)cc5)cc3)C4=O)cc2)cc1
3.158263162,3.200469017,0.013363628,CN(Cc1ccc(C(=O)c2ccc(*)cc2)cc1)Cc1ccc(C(=O)c2ccc(N3C(=O)c4ccc(/C=C5\CC/C(=C\c6ccc7c(c6)C(=O)N(*)C7=O)C5=O)cc4C3=O)cc2)cc1
3.063710151,3.010494349,0.017369725,O=C(C(=O)c1ccc(COc2ccc(N3C(=O)c4ccc(-c5ccc6c(c5)C(=O)N(*)C6=O)cc4C3=O)cc2)cc1)c1ccc(COc2ccc(*)cc2)cc1
3.074743046,3.122016911,0.015374899,O=C1c2ccc(-c3ccc(-c4ccc(-c5ccc(-c6ccc7c(c6)C(=O)N(Cc6ccc(S(=O)c8ccc(C*)cc8)cc6)C7=O)cc5)[nH]4)cc3)cc2C(=O)N1*
2.854390948,2.957232497,0.036029245,O=C(/C=C/c1ccc(COC(=O)c2ccc3c(c2)C(=O)N(*)C3=O)cc1)/C=C/c1ccc(COC(=O)c2ccc3c(c2)C(=O)N(Cc2ccc(C(O)c4ccc(C*)cc4)cc2)C3=O)cc1
3.380470841,3.248916282,0.038916046,O=C(Nc1ccc(*)cc1)c1ccc(SSc2ccc(C(=O)Nc3ccc(N4C(=O)c5ccc(C(=O)c6ccc(S(=O)c7ccc(C(=O)c8ccc9c(c8)C(=O)N(*)C9=O)cc7)cc6)cc5C4=O)cc3)cc2)cc1
3.117301049,3.139966411,0.007270829,O=C(CC(=O)c1ccc(COc2ccc(N3C(=O)c4ccc(-c5ccc(Sc6ccc(-c7ccc8c(c7)C(=O)N(*)C8=O)cc6)cc5)cc4C3=O)cc2)cc1)c1ccc(COc2ccc(*)cc2)cc1
